Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien
0001,Agence Genas,AF16060,Porte automatique,Non,15/17 BOULEVARD DE LA DUCHERE référence 1058/3451,LYON,0021,SDC - LA CANOPEE,Romain RICORDEAU 
0001,Agence Genas,AF16061,Ascenseur,Non,39 Cours Franklin Roosevelt,LYON,0056,SDC 39 FRANKLIN ROOSEVELT,Yaya DOUCOURE 
0001,Agence Genas,AF16092,Ascenseur,Non,2 quai Jean Moulin,LYON,0056,SDC 2 QUAI JEAN MOULIN,Yaya DOUCOURE 
0001,Agence Genas,AF18099,Ascenseur,Non,"1, RUE TRONCHET",LYON,0056,"SDC 1, RUE TRONCHET",Yaya DOUCOURE 
0001,Agence Genas,AF16102,Ascenseur,Non,20 rue Juiverie,LYON,0072,SDC 20 rue Juiverie,Nouredine BOUNAAS
0001,Agence Genas,AF16103,Ascenseur,Non,15.17.19 rue Charles de Gaulle,GRIGNY,0070,SDC LES HAUTS DE GRIGNY I,Guillaume LANGLOIS
0001,Agence Genas,AF16104,Ascenseur,Non,"338,Avenue Berthelot",LYON,0045,SDC 338 Avenue Berthelot,Mohamed BESSAFI
0001,Agence Genas,AF16105,Ascenseur,Non,30 rue du Docteur Bonhomme,LYON,0045,PATIO LUMIÈRE ,Mohamed BESSAFI
0001,Agence Genas,AF16106,Ascenseur,Non,5 impasse des platanes,LYON,0045,PATIO LUMIÈRE ,Mohamed BESSAFI
0001,Agence Genas,AF16109,Portail,Non,15.17.19 rue Charles de Gaulle,GRIGNY,0073,SDC LES HAUTS DE GRIGNY I,Yann GENIEIS
0001,Agence Genas,AF16110,Porte de garage,Non,15.17.19 rue Charles de Gaulle,GRIGNY,0073,SDC LES HAUTS DE GRIGNY I,Yann GENIEIS
0001,Agence Genas,AF16111,Porte de garage,Non,15.17.19 rue Charles de Gaulle,GRIGNY,0073,SDC LES HAUTS DE GRIGNY I,Yann GENIEIS
0001,Agence Genas,AF16112,Ascenseur,Oui,21 rue Vauban,LYON,0056,SDC 21 rue Vauban,Yaya DOUCOURE 
0001,Agence Genas,AF16116,Monte-Charge,Non,11 rue de la Barre,LYON,0056,SUSHI SHOP,Yaya DOUCOURE 
0001,Agence Genas,AF16122,Ascenseur,Non,34 avenue Debourg,LYON,0045,SDC LE LIBERTY SQUARE,Mohamed BESSAFI
0001,Agence Genas,AF16130,Ascenseur,Non,22 rue Joseph Serlin,LYON,0047,SDC 22 RUE JOSEPH SERLIN,Nefis ALIOUCHE
0001,Agence Genas,AF16142,Ascenseur,Non,44 rue de la Favorite Allée A,LYON,0072,SDC LES CEDRES,Nouredine BOUNAAS
0001,Agence Genas,AF16143,Ascenseur,Non,44 rue de la Favorite Allée B,LYON,0072,SDC LES CEDRES,Nouredine BOUNAAS
0001,Agence Genas,AF16144,Ascenseur,Non,44 rue de la Favorite Allée C,LYON,0072,SDC LES CEDRES,Nouredine BOUNAAS
0001,Agence Genas,AF16149,Monte-Charge,Non,"34 bis, boulevard des Brotteaux",LYON,0056,L'HORLOGE DES BROTTEAUX,Yaya DOUCOURE 
0001,Agence Genas,AF16150,Ascenseur,Non,1 rue du collège,BOUGOIN JALIEU,0070,SCI MANAPISA,Guillaume LANGLOIS
0001,Agence Genas,AF16174,Ascenseur,Non,128 rue Antoine Charial (Bâtiment A),LYON,0053,SDC GREEN CASCADE,Christopher WILTORD
0001,Agence Genas,AF16175,Ascenseur,Non,130 rue Antoine Charial (Bâtiment B),LYON,0053,SDC GREEN CASCADE,Christopher WILTORD
0001,Agence Genas,AF16177,Ascenseur,Non,134 rue Antoine Charial (Bâtiment C),LYON,0053,SDC GREEN CASCADE,Christopher WILTORD
0001,Agence Genas,AF16178,Ascenseur,Non,136 rue Antoine Charial (Bâtiment D),LYON,0053,SDC GREEN CASCADE,Christopher WILTORD
0001,Agence Genas,AF16179,Porte de garage,Non,20 rue de l'espérance,LYON,0021,SDC GREEN CASCADE,Romain RICORDEAU 
0001,Agence Genas,AF16226,Ascenseur,Non,24 Rue de La Part Dieu ,LYON,0053,SCI MARCEL,Christopher WILTORD
0001,Agence Genas,525776,Portail,Non,68-72 rue Bataille,LYON,0021,SNEF - Marché Orange Bron Fermeture,Romain RICORDEAU 
0001,Agence Genas,AF16233,Ascenseur,Oui,11 Cours Lafayette,LYON,0056,SDC 11 cours Lafayette ,Yaya DOUCOURE 
0001,Agence Genas,AF17237,Ascenseur,Oui,"5 rue Alsace Lorraine, 6 rue royale",LYON,0047,SDC 5 RUE ALSACE LORRAINE - 6 RUE ROYALE,Nefis ALIOUCHE
0001,Agence Genas,AF16238,Ascenseur,Non,23 Rue Docteur Bonhomme,LYON,0053,SDC LE VERSEAU,Christopher WILTORD
0001,Agence Genas,AF16239,Ascenseur,Non,25 Rue Docteur Bonhomme,LYON,0053,SDC LE VERSEAU,Christopher WILTORD
0001,Agence Genas,AF16240,Ascenseur,Non,119 Cours Albert Thomas ,LYON,0053,SDC LE VERSEAU,Christopher WILTORD
0001,Agence Genas,AF16241,Ascenseur,Non,121 Cours Albert Thomas ,LYON,0053,SDC LE VERSEAU,Christopher WILTORD
0001,Agence Genas,AF16242,Portail,Non,17 rue Marcel Mérieux,Corbas,0073,GRAND FRAIS,Yann GENIEIS
0001,Agence Genas,AF16243,Portail,Non,17 rue Marcel Mérieux,Corbas,0073,GRAND FRAIS,Yann GENIEIS
0001,Agence Genas,AF16244,Ascenseur,Non,51 Grande rue de la Guillotière,LYON,0045,SDC Le Porche de La Guille,Mohamed BESSAFI
0001,Agence Genas,AF16254,Ascenseur,Non,24 Rue Mazenod,LYON,0053,SDC 24 rue Mazenod,Christopher WILTORD
0001,Agence Genas,AF17259,Ascenseur,Non,16 rue du Plat,LYON,0056,SDC 16 rue du Plat,Yaya DOUCOURE 
0001,Agence Genas,AF17306,Porte de garage,Non,23 rue Sergent Michel Berthet,LYON,0021,MMA Cheney,Romain RICORDEAU 
0001,Agence Genas,AF16307,Ascenseur,Non,8 - 10 - 12 Rue de Lattre de Tassigny     ,La Mulatière ,0071,SDC LA MULATINE,Kenzy CHABBI
0001,Agence Genas,AF16308,Ascenseur,Non,8 - 10 - 12 Rue de Lattre de Tassigny     ,La Mulatière ,0071,SDC LA MULATINE,Kenzy CHABBI
0001,Agence Genas,AF16309,Ascenseur,Non,8 - 10 - 12 Rue de Lattre de Tassigny     ,La Mulatière ,0071,SDC LA MULATINE,Kenzy CHABBI
0001,Agence Genas,AF16310,Ascenseur,Non,57 - 59 - 61 Avenue Valioud     ,SAINTE FOY LES LYON,0071,SDC LE VAL ROSE ,Kenzy CHABBI
0001,Agence Genas,AF16311,Ascenseur,Non,57 - 59 - 61 Avenue Valioud     ,SAINTE FOY LES LYON,0071,SDC LE VAL ROSE ,Kenzy CHABBI
0001,Agence Genas,AF16312,Ascenseur,Non,57 - 59 - 61 Avenue Valioud     ,SAINTE FOY LES LYON,0071,SDC LE VAL ROSE ,Kenzy CHABBI
0001,Agence Genas,AF16313,Ascenseur,Non,306 Rue Duguesclin     ,LYON,0053,SDC LE SERENO,Christopher WILTORD
0001,Agence Genas,571703,Portail,Non,172 Rue Picardie,LA VERPILLIERE,0058,SNEF - Marché Orange Nord Isère Fermeture,Olivier VUILLAUME 
0001,Agence Genas,AF237569,Porte automatique,Non,12 RUE DU CREUZAT,L'ISLE-D'ABEAU,0058,SNEF - Marché Orange Nord Isère Fermeture,Olivier VUILLAUME 
0001,Agence Genas,578877,Porte automatique,Non,12 RUE DU CREUZAT,L'ISLE-D'ABEAU,0058,SNEF - Marché Orange Nord Isère Fermeture,Olivier VUILLAUME 
0001,Agence Genas,AF16389,Portail,Non,"54, Saint theobald ",L'ISLE-D'ABEAU,0058,SNEF - Marché Orange Nord Isère Fermeture,Olivier VUILLAUME 
0001,Agence Genas,578873,Portail,Non,8 A 10 AVENUE BEAUSEJOUR,VIENNE,0073,SNEF - Marché Orange Nord Isère Fermeture,Yann GENIEIS
0001,Agence Genas,525644,Portail,Non,1 AVENUE DES ALPES,BOURGOIN-JALLIEU,0058,SNEF - Marché Orange Nord Isère Fermeture,Olivier VUILLAUME 
0001,Agence Genas,AF16395,Ascenseur,Non,11 rue Dom Rémy - 17 passage Feuillat Allée AB,LYON,0053,SDC Les Allées Part-Dieu Montplaisir,Christopher WILTORD
0001,Agence Genas,AF16396,Ascenseur,Non,11 rue Dom Rémy - 17 passage Feuillat Allée C,LYON,0053,SDC Les Allées Part-Dieu Montplaisir,Christopher WILTORD
0001,Agence Genas,AF16397,Ascenseur,Non,11 rue Dom Rémy - 17 passage Feuillat Allée D,LYON,0053,SDC Les Allées Part-Dieu Montplaisir,Christopher WILTORD
0001,Agence Genas,AF16399,Ascenseur,Non,13 AVENUE DEBROUSSE,LYON,0071,SDC LES JARDINS DE FONTANIERE,Kenzy CHABBI
0001,Agence Genas,AF17411,Portail,Non,"9, Avenue Albert Thomas ",Saint Fons ,0073,SNEF - Marché Orange Bron Fermeture,Yann GENIEIS
0001,Agence Genas,AF17412,Ascenseur,Non,204 cours Emile Zola,Villeurbanne,0027,SDC 204 cours Emile Zola,Luc CHAROLLAIS
0001,Agence Genas,AF250413,Portail,Non,1-11 RUE JEAN PAUL CHARRA,Vaulx en Velin,0021,SDC LE VERT HORIZON,Romain RICORDEAU 
0001,Agence Genas,AF17419,Ascenseur,Non,"17, rue de la Part Dieu",LYON,0053,SDC LE GRIGNAN,Christopher WILTORD
0001,Agence Genas,AF17426,Ascenseur,Non,78 cours Docteur long,Lyon,0053,SDC 78 COURS DOCTEUR LONG,Christopher WILTORD
0001,Agence Genas,AF17427,Ascenseur,Non,2 rue Jean-François Ligonnet,Saint Bonnet de Mure,0070,SDC LE LEVANT,Guillaume LANGLOIS
0001,Agence Genas,AF17428,Ascenseur,Non,4 rue Jean-François Ligonnet,Saint Bonnet de Mure,0070,SDC LE LEVANT,Guillaume LANGLOIS
0001,Agence Genas,AF17429,Ascenseur,Non,6 rue Charles Plagnard,Saint Bonnet de Mure,0070,SDC Le Ponant,Guillaume LANGLOIS
0001,Agence Genas,AF17430,Ascenseur,Non,8 rue Charles Plagniard,Saint Bonnet de Mure,0070,SDC Le Ponant,Guillaume LANGLOIS
0001,Agence Genas,hors contrat,Monte-Charge,Non,129 Avenue Philippe Auguste,PARIS,0004,PRESTASERVICE,ILEX-Paris
0001,Agence Genas,AF200441,Ascenseur,Non,40-45 Louis Braille  Ascenseur Tour 1,Saint Priest,0065,SDC LE MENIVAL GRAVIERE,Khalil BELLAL
0001,Agence Genas,AF17442,Portail,Non,28 rue du Champ Dolin,Saint PRIEST ,0058,EBM - SOGEA,Olivier VUILLAUME 
0001,Agence Genas,AF17443,Portail,Non,28 rue du Champ Dolin,Saint PRIEST ,0058,EBM - SOGEA,Olivier VUILLAUME 
0001,Agence Genas,AF17444,Portail,Non,28 rue du Champ Dolin,Saint PRIEST CEDEX ,0058,EBM - SOGEA,Olivier VUILLAUME 
0001,Agence Genas,AF17451,Porte automatique,Non,18 au 28 chemin JB Gilliard,Caluire et Cuire,0021,SDC LE PETIT VERSAILLES ,Romain RICORDEAU 
0001,Agence Genas,AF17452,Porte automatique,Non,18 au 28 chemin JB Gilliard,Caluire et Cuire,0021,SDC LE PETIT VERSAILLES ,Romain RICORDEAU 
0001,Agence Genas,AF17453,Portail,Non,18 au 28 chemin JB Gilliard,Caluire et Cuire,0021,SDC LE PETIT VERSAILLES ,Romain RICORDEAU 
0001,Agence Genas,AF17454,Portail,Non,18 au 28 chemin JB Gilliard,Caluire et Cuire,0021,SDC LE PETIT VERSAILLES ,Romain RICORDEAU 
0001,Agence Genas,AF17455,Porte de garage,Non,18 au 28 chemin JB Gilliard,Caluire et Cuire,0021,SDC LE PETIT VERSAILLES ,Romain RICORDEAU 
0001,Agence Genas,AF18460,Ascenseur,Non,271 rue Paul Bert,LYON,0053,SDC 271 RUE PAUL BERT,Christopher WILTORD
0001,Agence Genas,AF17462,Ascenseur,Non,295 route de vienne,Vénissieux,0065,LE GAI LOGIS,Khalil BELLAL
0001,Agence Genas,AF17463,Ascenseur,Non,295 route de vienne,Vénissieux,0065,LE GAI LOGIS,Khalil BELLAL
0001,Agence Genas,AF17464,Ascenseur,Non,295 route de vienne,Vénissieux,0065,LE GAI LOGIS,Khalil BELLAL
0001,Agence Genas,AF17489,Portail,Non,19 Bis rue Boiron,MORNANT,0073,SDC Les Papillons,Yann GENIEIS
0001,Agence Genas,AF17490,Porte de garage,Non,19 Bis rue Boiron,MORNANT,0073,SDC Les Papillons,Yann GENIEIS
0001,Agence Genas,AF17494,Ascenseur,Non,27 bis rue de l'Egalité,Vaulx en Velin,0047,SDC Les Bosquets,Nefis ALIOUCHE
0001,Agence Genas,AF17495,Ascenseur,Non,27 bis rue de l'Egalité,Vaulx en Velin,0047,SDC Les Bosquets,Nefis ALIOUCHE
0001,Agence Genas,AF17496,Ascenseur,Non,27 bis rue de l'Egalité,Vaulx en Velin,0047,SDC Les Bosquets,Nefis ALIOUCHE
0001,Agence Genas,AF17497,Ascenseur,Non,27 bis rue de l'Egalité,Vaulx en Velin,0047,SDC Les Bosquets,Nefis ALIOUCHE
0001,Agence Genas,AF17521,Portail,Non,31 rue Boiron ,MORNANT,0073,SDC Pole Santé ,Yann GENIEIS
0001,Agence Genas,AF17608,Ascenseur,Non,3 rue Vaillant Couturier,Vénissieux,0065,Les Deux Moulins,Khalil BELLAL
0001,Agence Genas,AF17609,Ascenseur,Non,5 rue Vaillant Couturier,Vénissieux,0065,Les Deux Moulins,Khalil BELLAL
0001,Agence Genas,AF17646,Ascenseur,Non,20 cours Charlemagne,LYON,0056,SDC 20 cours Charlemagne,Yaya DOUCOURE 
0001,Agence Genas,AF17689,Ascenseur,Non,2/4 rue Hector Berlioz,La Tour du Pin,0070,ENVISOL,Guillaume LANGLOIS
0001,Agence Genas,AF17691,Ascenseur,Non,115 RUE VENDOME,LYON,0056,SDC 115 rue Vendôme,Yaya DOUCOURE 
0001,Agence Genas,AF17692,Ascenseur,Non,113 RUE VENDOME,LYON,0056,SDC 113 rue Vendôme ,Yaya DOUCOURE 
0001,Agence Genas,AF17693,Ascenseur,Non,26 rue de la Part Dieu,LYON,0053,SDC Le Platinium ,Christopher WILTORD
0001,Agence Genas,AF200695,Ascenseur,Non,57 Avenue Viviani,LYON,0045,SDC LES AMANDIERS,Mohamed BESSAFI
0001,Agence Genas,AF200696,Ascenseur,Non,59 Avenue Viviani,LYON,0045,SDC LES AMANDIERS,Mohamed BESSAFI
0001,Agence Genas,AF17699,Ascenseur,Non,19 bis rue Boiron ,MORNANT,0006,SDC Les Papillons,Aurélien GUERIN
0001,Agence Genas,AF17700,Ascenseur,Non,270 cours Lafayette,LYON,0053,SDC Les Jardins de Lafayette,Christopher WILTORD
0001,Agence Genas,AF17701,Ascenseur,Non,21 rue Saint Antoine,LYON,0053,SDC Les Jardins de Lafayette,Christopher WILTORD
0001,Agence Genas,AF17702,Porte basculante,Non,21 rue Saint Antoine,LYON,0021,SDC Les Jardins de Lafayette,Romain RICORDEAU 
0001,Agence Genas,AF18703,Ascenseur,Non,3 rue André Janier,Rillieux la Pape,0047,SDC Avant Scene,Nefis ALIOUCHE
0001,Agence Genas,AF18704,Ascenseur,Non,1 rue André Janier,Rillieux la Pape,0047,SDC Avant Scene,Nefis ALIOUCHE
0001,Agence Genas,AF18705,Ascenseur,Non,2518 Route de Strasbourg,Rillieux la Pape,0047,SDC Avant Scene,Nefis ALIOUCHE
0001,Agence Genas,AF18706,Ascenseur,Non,4 rue Alain Mimoun,Rillieux la Pape,0047,SDC Avant Scene,Nefis ALIOUCHE
0001,Agence Genas,AF18707,Ascenseur,Non,2 rue Alain Mimoun,Rillieux la Pape,0047,SDC Avant Scene,Nefis ALIOUCHE
0001,Agence Genas,AF17708,Ascenseur,Non,386 Avenue Charles de Gaulle,Villieu Loyes Mollon,0070,SDC LE CLOS POLLET,Guillaume LANGLOIS
0001,Agence Genas,AF17709,Porte de garage,Non,386 Avenue Charles de Gaulle,Villieu Loyes Mollon,0027,SDC LE CLOS POLLET,Luc CHAROLLAIS
0001,Agence Genas,AF17710,Ascenseur,Non,70 avenue point du jour,LYON,0072,SDC LA FENICE,Nouredine BOUNAAS
0001,Agence Genas,AF17711,Ascenseur,Non,229 rue Duguesclin,LYON,0053,SDC 229 DUGUESCLIN,Christopher WILTORD
0001,Agence Genas,AF17713,Ascenseur,Non,3 rue FENELON,LYON,0056,SDC 3 RUE FENELON,Yaya DOUCOURE 
0001,Agence Genas,AF17714,Ascenseur,Non,11 rue Emile Zola,LYON,0056,SDC 11 rue Emile Zola,Yaya DOUCOURE 
0001,Agence Genas,AF17723,Portail,Non,"17, rue de la Part Dieu",LYON,0021,SDC LE GRIGNAN,Romain RICORDEAU 
0001,Agence Genas,AF170732,Porte de garage,Non,Rue de la forge / Montée du pensionnat,TALUYERS,0073,SDC Le Clos du centre,Yann GENIEIS
0001,Agence Genas,525780,Rideau,Non,68-72 rue Bataille,LYON,0021,SNEF - Marché Orange Bron Fermeture,Romain RICORDEAU 
0001,Agence Genas,AF17809,Ascenseur,Non,26 rue Masaryk,LYON,0072,SDC 26 rue Masaryk,Nouredine BOUNAAS
0001,Agence Genas,AF17810,Ascenseur,Non,26 Bis rue Masaryk,LYON,0072,SDC 26 Bis rue Masaryk,Nouredine BOUNAAS
0001,Agence Genas,AF17811,Monte-Charge,Non,6 rue du Petit David,LYON,0056,SOHO Café,Yaya DOUCOURE 
0001,Agence Genas,AF17812,Porte de garage,Non,26 rue de la Part Dieu,LYON,0021,SDC Le Platinium ,Romain RICORDEAU 
0001,Agence Genas,AF17818,Ascenseur,Non,119 Avenue des Frères Lumières,LYON,0045,SDC 119 AVENUE DES FRERES LUMIERES,Mohamed BESSAFI
0001,Agence Genas,AF17819,Ascenseur,Non,24 rue Paul Bert ,Saint Fons,0065,SDC Le Diapason,Khalil BELLAL
0001,Agence Genas,AF17820,Ascenseur,Non,9/11/13 rue de Gerland - BAT A,LYON,0071,SDC LE LAOLA,Kenzy CHABBI
0001,Agence Genas,AF17821,Ascenseur,Non,9/11/13 rue de Gerland - BAT B,LYON,0071,SDC LE LAOLA,Kenzy CHABBI
0001,Agence Genas,AF17822,Ascenseur,Non,9/11/13 rue de Gerland - BAT C,LYON,0071,SDC LE LAOLA,Kenzy CHABBI
0001,Agence Genas,AF17823,Ascenseur,Oui,9/11/13 rue de Gerland - BAT D,LYON,0071,SDC LE LAOLA,Kenzy CHABBI
0001,Agence Genas,AF17824,Ascenseur,Non,9/11/13 rue de Gerland - BAT E,LYON,0071,SDC LE LAOLA,Kenzy CHABBI
0001,Agence Genas,AF17829,Ascenseur,Non,111 RUE VENDOME,LYON,0056,SDC 111 rue Vendôme,Yaya DOUCOURE 
0001,Agence Genas,AF17830,Porte de garage,Non,6 bis allée des Charmilles,SEREZIN DU RHONE,0073,SDC Les Jardins de Forcheron ,Yann GENIEIS
0001,Agence Genas,AF17831,Portail,Non,6 bis allée des Charmilles,SEREZIN DU RHONE,0073,SDC Les Jardins de Forcheron ,Yann GENIEIS
0001,Agence Genas,AF17833,Ascenseur,Non,109 RUE VENDOME,LYON,0056,SDC 109 rue Vendôme,Yaya DOUCOURE 
0001,Agence Genas,AF17837,Porte de garage,Non,12 rue Dunoir,LYON,0021,SDC VENDOME DUNOIR,Romain RICORDEAU 
0001,Agence Genas,AF17838,Porte de garage,Non,12 rue Dunoir,LYON,0021,SDC VENDOME DUNOIR,Romain RICORDEAU 
0001,Agence Genas,AF17840,Ascenseur,Non,20 rue des Frères Montgolfier ,CHASSIEU,0070,Immeuble Mi-Plaine,Guillaume LANGLOIS
0001,Agence Genas,AF17849,Porte de garage,Non,9/11/13 rue de Gerland,LYON,0021,SDC LE LAOLA,Romain RICORDEAU 
0001,Agence Genas,AF17851,Porte de garage,Non,9/11/13 rue de Gerland,LYON,0021,SDC LE LAOLA,Romain RICORDEAU 
0001,Agence Genas,AF17852,Porte de garage,Non,9/11/13 rue de Gerland,LYON,0021,SDC LE LAOLA,Romain RICORDEAU 
0001,Agence Genas,AF17853,Porte de garage,Non,9/11/13 rue de Gerland,LYON,0021,SDC LE LAOLA,Romain RICORDEAU 
0001,Agence Genas,AF18856,Portail,Non,8 - 10 - 12 Rue de Lattre de Tassigny     ,La Mulatière ,0073,SDC LA MULATINE,Yann GENIEIS
0001,Agence Genas,AF17864,Portail,Non,46/48 rue Pierre Sémard – CS27100,Lyon Cedex 07,0021,DIMA PROTECHNIC,Romain RICORDEAU 
0001,Agence Genas,AF17865,Rideau,Non,46/48 rue Pierre Sémard – CS27100,Lyon,0021,DIMA PROTECHNIC,Romain RICORDEAU 
0001,Agence Genas,AF17866,Porte sectionnelle,Non,46/48 rue Pierre Sémard – CS27100,Lyon Cedex 07,0021,DIMA PROTECHNIC,Romain RICORDEAU 
0001,Agence Genas,AF17867,Porte automatique,Non,46/48 rue Pierre Sémard – CS27100,Lyon Cedex 07,0021,DIMA PROTECHNIC,Romain RICORDEAU 
0001,Agence Genas,AF17876,Ascenseur,Non,36 rue Richelieu,Villeurbanne,0027,CENTRE D'HEBERGEMENT LE RICHELIEU,Luc CHAROLLAIS
0001,Agence Genas,AF17877,Porte automatique,Non,71 Avenue Berthelot,LYON,0021,SAS LAME,Romain RICORDEAU 
0001,Agence Genas,AF17878,Porte automatique,Non,71 Avenue Berthelot,LYON,0021,SAS LAME,Romain RICORDEAU 
0001,Agence Genas,AF17879,Rideau,Non,71 Avenue Berthelot,LYON,0021,SAS LAME,Romain RICORDEAU 
0001,Agence Genas,AF17880,Rideau,Non,71 Avenue Berthelot,LYON,0021,SAS LAME,Romain RICORDEAU 
0001,Agence Genas,AF17894,Rideau,Non,"30, Avenue du Général de Gaulle ",CHAMPAGNE AU MONT D'OR ,0073,TROC SPORT ,Yann GENIEIS
0001,Agence Genas,AF17895,Rideau,Non,"30, Avenue du Général de Gaulle ",CHAMPAGNE AU MONT D'OR ,0073,TROC SPORT ,Yann GENIEIS
0001,Agence Genas,AF17897,Ascenseur,Non,25 Rue Léo et Maurice Trouilhet,LYON,0045,Ecole Privée Saint Maurice,Mohamed BESSAFI
0001,Agence Genas,AM27747X,EPMR elevtr pr pers a mobilité reduite,Non,PLACE BRILLAT SAVARIN,CHAMPAGNE VALROMEY,0070,Marché Crédit Agricole ,Guillaume LANGLOIS
0001,Agence Genas,AM37990X,EPMR elevtr pr pers a mobilité reduite,Non,Rue Du Commerce, Villars-les-Dombes,0070,Marché Crédit Agricole ,Guillaume LANGLOIS
0001,Agence Genas,CN092B,EPMR elevtr pr pers a mobilité reduite,Non,"3, rue de Bellevue",OYONNAX,0048,RESIDENCE ETUDIANTE,Paul SAULNIER
0001,Agence Genas,AF171349,Portail,Non,"64, Rue des Grands Chênes ",MONTBRISON,0025,MTO - POLE EMPLOI,Bruno THOLY 
0001,Agence Genas,AF171350,Porte automatique,Non,"64, Rue des Grands Chênes ",MONTBRISON,0025,MTO - POLE EMPLOI,Bruno THOLY 
0001,Agence Genas,AF181354,Ascenseur,Oui,26 RUE DOYENNE - 11 SAINT GEORGES,LYON,0072,SDC 26 RUE DOYENNE - 11 ST GEORGES,Nouredine BOUNAAS
0001,Agence Genas,AF171386,Ascenseur,Non,8 rue Pierre Robin ,LYON,0045,SDC Le Tradition,Mohamed BESSAFI
0001,Agence Genas,AF171387,Ascenseur,Non,10 rue Pierre Robin ,LYON,0045,SDC Le Tradition,Mohamed BESSAFI
0001,Agence Genas,AF171388,Ascenseur,Non,12 rue Pierre Robin ,LYON,0045,SDC Le Tradition,Mohamed BESSAFI
0001,Agence Genas,AF171389,Ascenseur,Non,14 rue Pierre Robin ,LYON,0045,SDC Le Tradition,Mohamed BESSAFI
0001,Agence Genas,AF171390,Ascenseur,Non,29 rue Jules Brunard,LYON,0045,SDC Le Tradition,Mohamed BESSAFI
0001,Agence Genas,AF171392,Ascenseur,Non,139 Guillotière,LYON,0045,SDC LE RENOIR,Mohamed BESSAFI
0001,Agence Genas,AF211395,Ascenseur,Non,41 QUAI SAINT VINCENT,LYON,0056,SDC 41 QUAI SAINT VINCENT,Yaya DOUCOURE 
0001,Agence Genas,AF171398,Ascenseur,Non,60 rue de Marseille ,LYON,0045,SDC 60 rue de Marseille,Mohamed BESSAFI
0001,Agence Genas,AF171399,Ascenseur,Non,45 rue Rachais,LYON,0045,SDC LE RENOIR,Mohamed BESSAFI
0001,Agence Genas,AF171400,Ascenseur,Non,23 rue du bat d'Argent,LYON,0056,SDC 23 rue Bat d'Argent,Yaya DOUCOURE 
0001,Agence Genas,AF171401,Ascenseur,Non,5 rue des bons Enfants,LYON,0045,SDC VIA COSY,Mohamed BESSAFI
0001,Agence Genas,AF171402,Ascenseur,Non,5 rue Victor Fort,LYON,0047,SDC 5 RUE VICTOR FORT,Nefis ALIOUCHE
